iter	Passed	Remaining
468	714	808
469	714	806
470	715	803
471	716	801
472	717	799
473	718	797
474	719	795
475	720	793
476	723	793
477	725	791
478	726	790
479	727	788
480	728	785
481	729	783
482	730	781
483	731	779
484	732	777
485	733	775
486	735	775
487	737	773
488	738	771
489	739	769
490	740	767
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	752	743
503	753	741
504	754	739
505	755	737
506	756	736
507	758	734
508	760	733
509	761	732
510	762	730
511	763	728
512	764	726
513	765	724
514	766	721
515	767	719
516	768	718
517	770	716
518	772	716
519	774	714
520	775	712
521	776	710
522	777	708
523	778	707
524	779	705
525	780	703
526	781	701
527	782	699
528	785	699
529	786	697
530	788	696
531	788	694
532	790	692
533	790	690
534	791	688
535	792	686
536	793	684
537	794	682
538	796	680
539	798	680
540	800	679
541	801	677
542	802	675
543	803	673
544	804	671
545	805	669
546	806	667
547	807	666
548	809	664
549	811	663
550	813	662
551	814	660
552	815	659
553	816	657
554	817	655
555	818	653
556	819	651
557	821	650
558	822	648
559	824	648
560	826	646
561	827	645
562	828	643
563	830	641
564	831	640
565	832	638
566	833	636
567	834	634
568	837	634
569	838	632
570	839	631
571	841	629
572	842	627
573	843	625
574	844	623
575	845	622
576	846	620
577	847	618
578	850	618
579	851	616
580	852	615
581	853	613
582	854	611
583	855	609
584	856	607
585	857	605
586	858	603
587	859	602
588	860	600
589	862	599
590	863	597
591	865	596
592	866	594
593	867	592
594	868	591
595	869	589
596	869	587
597	870	585
598	871	583
599	873	582
600	875	580
601	876	579
602	877	577
603	878	576
604	879	574
605	880	572
606	881	570
607	882	569
608	883	567
609	884	565
610	886	564
611	888	563
612	890	562
613	891	560
614	892	558
615	894	557
616	894	555
617	895	553
618	896	551
619	897	550
620	899	548
621	900	547
622	902	545
623	902	544
624	904	542
625	916	547
626	917	546
627	920	545
628	923	544
629	925	543
630	927	542
631	930	541
632	931	539
633	932	538
634	933	536
635	935	535
636	937	534
637	938	532
638	939	530
639	940	529
640	942	527
641	943	526
642	945	524
643	947	523
644	950	523
645	952	521
646	953	520
647	954	518
648	955	516
649	956	515
650	958	513
651	960	512
652	961	510
653	963	509
654	964	507
655	965	506
656	966	504
657	967	502
658	969	501
659	971	500
660	973	499
661	974	497
662	975	495
663	976	494
664	977	492
665	979	490
666	980	489
667	982	488
668	984	487
669	986	485
670	987	484
671	988	482
672	990	481
673	991	479
674	992	477
675	993	476
676	994	474
677	996	473
678	998	471
679	999	470
680	1000	468
681	1001	466
682	1002	465
683	1003	463
684	1004	461
685	1006	460
686	1009	459
687	1010	458
688	1012	456
689	1013	455
690	1014	453
691	1015	451
692	1016	450
693	1017	448
694	1019	447
695	1020	445
696	1021	444
697	1023	442
698	1024	441
699	1025	439
700	1026	437
701	1027	436
702	1028	434
703	1029	432
704	1030	431
705	1031	429
706	1034	428
707	1035	427
708	1036	425
709	1037	423
710	1038	422
711	1039	420
712	1040	418
713	1041	417
714	1042	415
715	1043	413
716	1044	412
717	1047	411
718	1048	409
719	1049	408
720	1050	406
721	1051	405
722	1052	403
723	1053	401
724	1054	400
725	1055	398
726	1056	396
727	1058	395
728	1060	394
729	1062	393
730	1063	391
731	1064	389
732	1065	388
733	1067	386
734	1067	385
735	1068	383
736	1070	381
737	1071	380
738	1073	379
739	1074	377
740	1075	376
741	1076	374
742	1077	372
743	1078	371
744	1079	369
745	1080	368
746	1082	366
747	1083	365
748	1085	363
749	1087	362
750	1088	360
751	1089	359
752	1090	357
753	1090	355
754	1091	354
755	1092	352
756	1093	351
757	1095	349
758	1097	348
759	1098	346
760	1099	345
761	1101	343
762	1102	342
763	1103	340
764	1103	339
765	1104	337
766	1105	335
767	1106	334
768	1107	332
769	1109	331
770	1111	330
771	1113	328
772	1114	327
773	1115	325
774	1116	324
775	1116	322
776	1117	320
777	1118	319
778	1119	317
779	1120	316
780	1122	314
781	1124	313
782	1125	312
783	1126	310
784	1127	308
785	1128	307
786	1129	305
787	1130	304
788	1131	302
789	1132	300
790	1133	299
791	1134	298
792	1136	296
793	1137	295
794	1138	293
795	1139	292
796	1140	290
797	1141	288
798	1142	287
799	1143	285
800	1144	284
801	1145	282
802	1146	281
803	1148	279
804	1149	278
805	1151	277
806	1151	275
807	1152	273
808	1153	272
809	1154	270
810	1155	269
811	1156	267
812	1157	266
813	1158	264
814	1159	263
815	1161	261
816	1162	260
817	1163	258
818	1164	257
819	1165	255
820	1166	254
821	1167	252
822	1168	251
823	1169	249
824	1170	248
825	1171	246
826	1172	245
827	1174	243
828	1176	242
829	1177	241
830	1178	239
831	1178	238
832	1179	236
833	1180	235
834	1181	233
835	1182	231
836	1183	230
837	1185	229
838	1188	227
839	1189	226
840	1191	225
841	1192	223
842	1194	222
843	1195	221
844	1196	219
845	1198	218
846	1199	216
847	1201	215
848	1202	213
849	1203	212
850	1204	210
851	1205	209
852	1206	207
853	1207	206
854	1208	204
855	1208	203
856	1210	201
857	1211	200
858	1213	199
859	1214	197
860	1216	196
861	1216	194
862	1217	193
863	1218	191
864	1219	190
865	1220	188
866	1221	187
867	1222	185
868	1223	184
869	1226	183
870	1227	181
871	1228	180
872	1229	178
873	1230	177
874	1231	175
875	1232	174
876	1233	172
877	1234	171
878	1234	169
879	1235	168
880	1237	167
881	1239	165
882	1240	164
883	1241	162
884	1242	161
885	1243	160
886	1244	158
887	1245	157
888	1246	155
889	1247	154
890	1248	152
891	1249	151
892	1252	150
893	1253	148
894	1254	147
895	1255	145
896	1256	144
897	1257	142
898	1258	141
899	1258	139
900	1259	138
901	1260	136
902	1261	135
903	1263	134
904	1265	132
905	1266	131
906	1268	130
907	1268	128
908	1269	127
909	1270	125
910	1271	124
911	1272	122
912	1273	121
913	1274	119
914	1274	118
915	1276	117
916	1278	115
917	1280	114
918	1281	112
919	1282	111
920	1282	110
921	1283	108
922	1284	107
923	1285	105
924	1286	104
925	1287	102
926	1288	101
927	1291	100
928	1292	98
929	1293	97
930	1294	95
931	1295	94
932	1296	93
933	1297	91
934	1298	90
935	1298	88
936	1299	87
937	1301	86
938	1303	84
939	1304	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1309	76
945	1310	74
946	1311	73
947	1312	71
948	1313	70
949	1314	69
950	1316	67
951	1318	66
952	1319	65
953	1320	63
954	1321	62
955	1322	60
956	1323	59
957	1324	58
958	1325	56
959	1327	55
960	1329	53
961	1330	52
962	1331	51
963	1332	49
964	1333	48
965	1334	46
966	1335	45
967	1336	44
968	1337	42
969	1338	41
970	1340	40
971	1342	38
972	1344	37
973	1345	35
974	1346	34
975	1347	33
976	1348	31
977	1348	30
978	1349	28
979	1350	27
980	1351	26
981	1353	24
982	1355	23
983	1356	22
984	1357	20
985	1358	19
986	1359	17
987	1360	16
988	1361	15
989	1363	13
990	1363	12
991	1365	11
992	1366	9
993	1368	8
994	1369	6
995	1370	5
996	1371	4
997	1372	2
998	1373	1
999	1374	0
